0.10	1677.81
0.11	1677.15
0.12	1675.50
0.13	1672.77
0.14	1669.65
0.15	1665.94
0.16	1662.14
0.17	1658.51
0.18	1654.85
0.19	1651.05
0.20	1647.64
0.21	1643.81
0.22	1639.62
0.23	1634.57
0.24	1628.19
0.25	1620.50
0.26	1607.92
0.27	1579.86
0.28	1434.05
0.29	1058.53
0.30	1200.95
0.31	1255.18
0.32	1287.57
0.33	1310.13
0.34	1327.15
0.35	1340.59
0.36	1351.80
0.37	1361.34
0.38	1370.29
0.39	1378.86
0.40	1386.25
0.41	1392.70
0.42	1398.59
0.43	1403.88
0.44	1408.70
0.45	1413.06
0.46	1417.08
0.47	1420.85
0.48	1424.33
0.49	1427.73
0.50	1431.01
0.51	1434.11
0.52	1436.99
0.53	1439.73
0.54	1442.36
0.55	1444.90
0.56	1447.41
0.57	1449.86
0.58	1452.13
0.59	1454.28
0.60	1456.32
0.61	1458.25
0.62	1460.11
0.63	1461.90
0.64	1463.61
0.65	1465.26
0.66	1466.84
0.67	1468.32
0.68	1469.62
0.69	1470.75
0.70	1471.88
0.71	1473.43
0.72	1475.25
0.73	1477.11
0.74	1478.88
0.75	1480.58
0.76	1482.24
0.77	1483.82
0.78	1485.36
0.79	1486.86
0.80	1488.32
0.81	1489.76
0.82	1491.13
0.83	1492.49
0.84	1493.85
0.85	1495.20
0.86	1496.64
0.87	1498.31
0.88	1500.21
0.89	1501.21
0.90	1502.30
0.91	1503.45
0.92	1504.56
0.93	1505.71
0.94	1506.85
0.95	1507.95
0.96	1509.03
0.97	1510.09
0.98	1511.13
0.99	1512.13
1.00	1513.14
1.01	1514.09
1.02	1515.07
1.03	1516.01
1.04	1516.95
1.05	1517.92
1.06	1518.86
1.07	1519.78
1.08	1520.68
1.09	1521.58
1.10	1522.44
1.11	1523.30
1.12	1524.11
1.13	1524.92
1.14	1525.72
1.15	1526.49
1.16	1527.26
1.17	1527.97
1.18	1528.68
1.19	1529.36
1.20	1530.08
1.21	1530.72
1.22	1531.39
1.23	1532.03
1.24	1532.66
1.25	1533.28
1.26	1533.94
1.27	1534.56
1.28	1535.17
1.29	1535.79
1.30	1536.40
1.31	1537.02
1.32	1537.57
1.33	1538.09
1.34	1538.65
1.35	1539.18
1.36	1539.66
1.37	1540.16
1.38	1540.62
1.39	1541.11
1.40	1541.56
1.41	1541.98
1.42	1542.44
1.43	1542.80
1.44	1543.20
1.45	1543.62
1.46	1543.98
1.47	1544.33
1.48	1544.65
1.49	1545.03
1.50	1545.32
1.51	1545.68
1.52	1545.97
1.53	1546.25
1.54	1546.54
