 ! Swift/XRT lightcurve of trigger: 554620, name: GRB 130427A
 ! Data covers 0.3-10 keV
 ! The data are in 5 columns:  ! time, time error (+ve), time error (-ve), source flux, source error
 ! For a detailed description of light curve production, see Evans et al. 2007 (A&A, 469, 379 )
 ! For a detailed description of the file, see
 ! http://www.swift.ac.uk/xrt_curves/docs.php
 ! This lightcurve was obtained from http://www.swift.ac.uk/xrt_curves/00554620
 ! BINMODE: GRB-like (counts)

READ TERR 1 2
! WTSLEW data
!Time    	T_+ve   	T_-ve   	Flux    	Fluxpos 	Fluxneg
338.458	1.114	-0.945	5.22778487e-08	5.34212601e-09	-5.31145352e-09
340.582	1.097	-1.009	5.11252945e-08	5.20838048e-09	-5.18029845e-09
342.586	0.891	-0.908	5.98736308e-08	6.09935837e-09	-6.06665682e-09
344.525	0.993	-1.047	5.27108485e-08	5.36839151e-09	-5.34757159e-09
346.546	0.979	-1.027	5.3663424e-08	5.46090221e-09	-5.43721915e-09
348.564	1.149	-1.039	4.94856055e-08	5.00007702e-09	-4.98177939e-09
351.011	0.998	-1.297	4.64588174e-08	4.76536771e-09	-4.75001342e-09
353.104	1.128	-1.096	4.77686037e-08	4.91876625e-09	-4.90301898e-09
355.240	0.981	-1.008	5.41984382e-08	5.49197971e-09	-5.4771788e-09
357.320	0.949	-1.099	5.21329674e-08	5.34005284e-09	-5.32303841e-09
359.382	1.052	-1.113	4.92157726e-08	5.06055183e-09	-5.04481659e-09
361.640	1.136	-1.206	4.58306509e-08	4.68879676e-09	-4.67345851e-09
363.856	1.158	-1.080	4.77672002e-08	4.9061949e-09	-4.88992633e-09
366.051	1.103	-1.038	4.98283803e-08	5.13302857e-09	-5.11781062e-09
368.194	1.008	-1.039	5.24644741e-08	5.36268929e-09	-5.34291197e-09
370.301	0.913	-1.100	5.37309123e-08	5.45354386e-09	-5.43682617e-09
372.424	0.993	-1.210	4.85550048e-08	4.9881192e-09	-4.97053134e-09
374.775	1.214	-1.358	4.15199009e-08	4.27018484e-09	-4.27425499e-09
376.984	0.930	-0.995	3.703076605e-08	4.63828279e-09	-4.69821625e-09
379.084	1.087	-1.169	4.76393614e-08	4.86097012e-09	-5.05823405e-09
381.204	1.172	-1.034	4.88512235e-08	4.98210019e-09	-5.32112163e-09
383.692	1.086	-1.316	4.52497222e-08	4.57701801e-09	-5.0726901e-09
385.834	1.311	-1.055	3.566860113e-08	4.10984499e-09	-4.43228909e-09
388.161	1.148	-1.017	3.928463467e-08	4.49351778e-09	-4.6041617e-09
390.442	1.050	-1.133	4.97351879e-08	5.04731883e-09	-5.09448846e-09
392.720	1.267	-1.228	4.37906436e-08	4.43139486e-09	-4.75518632e-09
