#XLO XHI SOURCE
2.47 2.48 0.00136486
2.48 2.49 0.00136588
2.49 2.5 0.00137886
2.5 2.51 0.00139171
2.51 2.52 0.00140443
2.52 2.53 0.00141703
2.53 2.54 0.0014295
2.54 2.55 0.00144185
2.55 2.56 0.00145407
2.56 2.57 0.00146616
2.57 2.58 0.00147813
2.58 2.59 0.00148996
2.59 2.6 0.00150167
2.6 2.61 0.00151326
2.61 2.62 0.00152471
2.62 2.63 0.00153604
2.63 2.64 0.00154724
2.64 2.65 0.00155831
2.65 2.66 0.00156925
2.66 2.67 0.00158007
2.67 2.68 0.00159076
2.68 2.69 0.00160132
2.69 2.7 0.00161176
2.7 2.71 0.00162207
2.71 2.72 0.00163225
2.72 2.73 0.00164231
2.73 2.74 0.00165224
2.74 2.75 0.00166205
2.75 2.76 0.00167174
2.76 2.77 0.0016813
2.77 2.78 0.00169075
2.78 2.79 0.00170007
2.79 2.8 0.00170926
2.8 2.81 0.00171834
2.81 2.82 0.0017273
2.82 2.83 0.00173614
2.83 2.84 0.00174486
2.84 2.85 0.00175346
2.85 2.86 0.00176195
2.86 2.87 0.00177032
2.87 2.88 0.00177857
2.88 2.89 0.00178671
2.89 2.9 0.00179474
2.9 2.91 0.00180265
2.91 2.92 0.00181045
2.92 2.93 0.00181814
2.93 2.94 0.00182572
2.94 2.95 0.0018332
2.95 2.96 0.00184056
2.96 2.97 0.00184781
2.97 2.98 0.00185496
2.98 2.99 0.001862
2.99 3 0.00186894
3 3.01 0.00187578
3.01 3.02 0.00188251
3.02 3.03 0.00188914
3.03 3.04 0.00189566
3.04 3.05 0.00190209
3.05 3.06 0.00190842
3.06 3.07 0.00191465
3.07 3.08 0.00192078
3.08 3.09 0.00192682
3.09 3.1 0.00193276
3.1 3.11 0.00193861
3.11 3.12 0.00194436
3.12 3.13 0.00195002
3.13 3.14 0.00195559
3.14 3.15 0.00196106
3.15 3.16 0.00196645
3.16 3.17 0.00197175
3.17 3.18 0.00197696
3.18 3.19 0.00198208
3.19 3.2 0.00198712
3.2 3.21 0.00199207
3.21 3.22 0.00197344
3.22 3.23 0.00197838
3.23 3.24 0.00198324
3.24 3.25 0.00198802
3.25 3.26 0.00199272
3.26 3.27 0.00199734
3.27 3.28 0.00200188
3.28 3.29 0.00200634
3.29 3.3 0.00201072
3.3 3.31 0.00201502
3.31 3.32 0.00201925
3.32 3.33 0.00202341
3.33 3.34 0.00202749
3.34 3.35 0.00203149
3.35 3.36 0.00203542
3.36 3.37 0.00203928
3.37 3.38 0.00204307
3.38 3.39 0.00204679
3.39 3.4 0.00205044
3.4 3.41 0.00205402
3.41 3.42 0.00205753
3.42 3.43 0.00206098
3.43 3.44 0.00206436
3.44 3.45 0.00206767
3.45 3.46 0.00207092
3.46 3.47 0.0020741
3.47 3.48 0.00207722
3.48 3.49 0.00208028
3.49 3.5 0.00208328
3.5 3.51 0.00208621
3.51 3.52 0.00208909
3.52 3.53 0.0020919
3.53 3.54 0.00209466
3.54 3.55 0.00209736
3.55 3.56 0.0021
3.56 3.57 0.00210259
3.57 3.58 0.00210511
3.58 3.59 0.00210759
3.59 3.6 0.00211001
3.6 3.61 0.00211237
3.61 3.62 0.00211468
3.62 3.63 0.00211694
3.63 3.64 0.00211915
3.64 3.65 0.0021213
3.65 3.66 0.00212341
3.66 3.67 0.00212546
3.67 3.68 0.00212747
3.68 3.69 0.00212942
3.69 3.7 0.00213133
3.7 3.71 0.00213319
3.71 3.72 0.00213501
3.72 3.73 0.00213677
3.73 3.74 0.00213849
3.74 3.75 0.00214017
3.75 3.76 0.0021418
3.76 3.77 0.00214339
3.77 3.78 0.00214493
3.78 3.79 0.00214643
3.79 3.8 0.00214789
3.8 3.81 0.00214931
3.81 3.82 0.00215068
3.82 3.83 0.00215202
3.83 3.84 0.00215331
3.84 3.85 0.00215456
3.85 3.86 0.00215578
3.86 3.87 0.00215696
3.87 3.88 0.00215809
3.88 3.89 0.0021592
3.89 3.9 0.00216026
3.9 3.91 0.00216129
3.91 3.92 0.00216228
3.92 3.93 0.00216323
3.93 3.94 0.00216415
3.94 3.95 0.00216503
3.95 3.96 0.00216588
3.96 3.97 0.0021667
3.97 3.98 0.00216748
3.98 3.99 0.00216823
3.99 4 0.00216895
4 4.01 0.00216963
4.01 4.02 0.00217029
4.02 4.03 0.00217091
4.03 4.04 0.00216913
4.04 4.05 0.00216037
4.05 4.06 0.00216119
4.06 4.07 0.00216197
4.07 4.08 0.00216272
4.08 4.09 0.00216344
4.09 4.1 0.00216412
4.1 4.11 0.00216477
4.11 4.12 0.0021654
4.12 4.13 0.00216599
4.13 4.14 0.00216655
4.14 4.15 0.00216708
4.15 4.16 0.00216758
4.16 4.17 0.00216805
4.17 4.18 0.00216849
4.18 4.19 0.00216891
4.19 4.2 0.0021693
4.2 4.21 0.00216965
4.21 4.22 0.00216999
4.22 4.23 0.00217029
4.23 4.24 0.00217057
4.24 4.25 0.00217082
4.25 4.26 0.00217105
4.26 4.27 0.00217125
4.27 4.28 0.00217142
4.28 4.29 0.00217158
4.29 4.3 0.0021717
4.3 4.31 0.0021718
4.31 4.32 0.00217188
4.32 4.33 0.00217194
4.33 4.34 0.00217197
4.34 4.35 0.00217198
4.35 4.36 0.00217197
4.36 4.37 0.00217193
4.37 4.38 0.00217187
4.38 4.39 0.0021718
4.39 4.4 0.00217169
4.4 4.41 0.00217157
4.41 4.42 0.00217143
4.42 4.43 0.00217127
4.43 4.44 0.00217108
4.44 4.45 0.00217088
4.45 4.46 0.00217066
4.46 4.47 0.00217042
4.47 4.48 0.00217016
4.48 4.49 0.00216988
4.49 4.5 0.00216958
4.5 4.51 0.00216927
4.51 4.52 0.00216893
4.52 4.53 0.00216858
4.53 4.54 0.00216821
4.54 4.55 0.00216782
4.55 4.56 0.00216742
4.56 4.57 0.002167
4.57 4.58 0.00216657
4.58 4.59 0.00216611
4.59 4.6 0.00216564
4.6 4.61 0.00216516
4.61 4.62 0.00216466
4.62 4.63 0.00216414
4.63 4.64 0.00216361
4.64 4.65 0.00216307
4.65 4.66 0.00216251
4.66 4.67 0.00216193
4.67 4.68 0.00216135
4.68 4.69 0.00216074
4.69 4.7 0.00216013
4.7 4.71 0.0021595
4.71 4.72 0.00215886
4.72 4.73 0.0021582
4.73 4.74 0.00215754
4.74 4.75 0.00215686
4.75 4.76 0.00215617
4.76 4.77 0.00215546
4.77 4.78 0.00215475
4.78 4.79 0.00215402
4.79 4.8 0.00215329
4.8 4.81 0.00215254
4.81 4.82 0.00215178
4.82 4.83 0.00215101
4.83 4.84 0.00215023
4.84 4.85 0.00214945
4.85 4.86 0.00214865
4.86 4.87 0.00214784
4.87 4.88 0.00214703
4.88 4.89 0.00214621
4.89 4.9 0.00214538
4.9 4.91 0.00214454
4.91 4.92 0.0021437
4.92 4.93 0.00214285
4.93 4.94 0.002142
4.94 4.95 0.00214114
4.95 4.96 0.00214028
4.96 4.97 0.00213942
4.97 4.98 0.00213855
4.98 4.99 0.00213768
4.99 5 0.00213681
5 5.01 0.00213594
5.01 5.02 0.00213507
5.02 5.03 0.0021342
5.03 5.04 0.00213334
5.04 5.05 0.00213248
5.05 5.06 0.00213163
5.06 5.07 0.00213078
5.07 5.08 0.00212994
5.08 5.09 0.00212911
5.09 5.1 0.0021283
5.1 5.11 0.0021275
5.11 5.12 0.00212671
5.12 5.13 0.00212594
5.13 5.14 0.00212519
5.14 5.15 0.00212446
5.15 5.16 0.00212376
5.16 5.17 0.00212309
5.17 5.18 0.00212244
5.18 5.19 0.00212183
5.19 5.2 0.00212125
5.2 5.21 0.00212072
5.21 5.22 0.00212023
5.22 5.23 0.00211978
5.23 5.24 0.00211939
5.24 5.25 0.00211905
5.25 5.26 0.00211878
5.26 5.27 0.00211856
5.27 5.28 0.00211842
5.28 5.29 0.00211836
5.29 5.3 0.00211837
5.3 5.31 0.00211846
5.31 5.32 0.00211865
5.32 5.33 0.00211894
5.33 5.34 0.00211933
5.34 5.35 0.00211984
5.35 5.36 0.00212046
5.36 5.37 0.00212121
5.37 5.38 0.00212208
5.38 5.39 0.00212311
5.39 5.4 0.00212428
5.4 5.41 0.0021256
5.41 5.42 0.00212709
5.42 5.43 0.00212876
5.43 5.44 0.00213061
5.44 5.45 0.00213265
5.45 5.46 0.00213489
5.46 5.47 0.00213734
5.47 5.48 0.00214002
5.48 5.49 0.00214292
5.49 5.5 0.00214606
5.5 5.51 0.00214946
5.51 5.52 0.00215311
5.52 5.53 0.00215703
5.53 5.54 0.00216123
5.54 5.55 0.00216573
5.55 5.56 0.00217052
5.56 5.57 0.00217562
5.57 5.58 0.00218103
5.58 5.59 0.00218678
5.59 5.6 0.00219286
5.6 5.61 0.00219929
5.61 5.62 0.00220607
5.62 5.63 0.00221322
5.63 5.64 0.00222072
5.64 5.65 0.00222861
5.65 5.66 0.00223688
5.66 5.67 0.00224554
5.67 5.68 0.0022546
5.68 5.69 0.00226404
5.69 5.7 0.00227389
5.7 5.71 0.00228415
5.71 5.72 0.00229481
5.72 5.73 0.00230588
5.73 5.74 0.00231735
5.74 5.75 0.00232923
5.75 5.76 0.00234151
5.76 5.77 0.0023542
5.77 5.78 0.00236728
5.78 5.79 0.00238075
5.79 5.8 0.0023946
5.8 5.81 0.00240884
5.81 5.82 0.00242343
5.82 5.83 0.00243838
5.83 5.84 0.00245367
5.84 5.85 0.00246929
5.85 5.86 0.00248523
5.86 5.87 0.00250145
5.87 5.88 0.00251797
5.88 5.89 0.00253474
5.89 5.9 0.00255175
5.9 5.91 0.00256898
5.91 5.92 0.0025864
5.92 5.93 0.002604
5.93 5.94 0.00262173
5.94 5.95 0.00263959
5.95 5.96 0.00265753
5.96 5.97 0.00267553
5.97 5.98 0.00269356
5.98 5.99 0.00271159
5.99 6 0.00272958
6 6.01 0.0027475
6.01 6.02 0.00276532
6.02 6.03 0.00278301
6.03 6.04 0.00280052
6.04 6.05 0.00281782
6.05 6.06 0.00283488
6.06 6.07 0.00285167
6.07 6.08 0.00286813
6.08 6.09 0.00288424
6.09 6.1 0.00289997
6.1 6.11 0.00291527
6.11 6.12 0.00293011
6.12 6.13 0.00294446
6.13 6.14 0.00295827
6.14 6.15 0.00297153
6.15 6.16 0.00298419
6.16 6.17 0.00299622
6.17 6.18 0.0030076
6.18 6.19 0.00301829
6.19 6.2 0.00302826
6.2 6.21 0.00303749
6.21 6.22 0.00304596
6.22 6.23 0.00305363
6.23 6.24 0.0030605
6.24 6.25 0.00306653
6.25 6.26 0.00307171
6.26 6.27 0.00307603
6.27 6.28 0.00307947
6.28 6.29 0.00308202
6.29 6.3 0.00308367
6.3 6.31 0.00308441
6.31 6.32 0.00308423
6.32 6.33 0.00308314
6.33 6.34 0.00308114
6.34 6.35 0.00307822
6.35 6.36 0.00307439
6.36 6.37 0.00306965
6.37 6.38 0.00306402
6.38 6.39 0.0030575
6.39 6.4 0.00305011
6.4 6.41 0.00304185
6.41 6.42 0.00303276
6.42 6.43 0.00302284
6.43 6.44 0.00301212
6.44 6.45 0.00300063
6.45 6.46 0.00298837
6.46 6.47 0.00297538
6.47 6.48 0.00296169
6.48 6.49 0.00294733
6.49 6.5 0.00293231
6.5 6.51 0.00291669
6.51 6.52 0.00290048
6.52 6.53 0.00288373
6.53 6.54 0.00286646
6.54 6.55 0.00284871
6.55 6.56 0.00283052
6.56 6.57 0.00281192
6.57 6.58 0.00279294
6.58 6.59 0.00277362
6.59 6.6 0.00275401
6.6 6.61 0.00273413
6.61 6.62 0.00271403
6.62 6.63 0.00269373
6.63 6.64 0.00267327
6.64 6.65 0.0026527
6.65 6.66 0.00263203
6.66 6.67 0.00261131
6.67 6.68 0.00259057
6.68 6.69 0.00256984
6.69 6.7 0.00254916
6.7 6.71 0.00252854
6.71 6.72 0.00250802
6.72 6.73 0.00248764
6.73 6.74 0.00246741
6.74 6.75 0.00244736
6.75 6.76 0.00242752
6.76 6.77 0.0024079
6.77 6.78 0.00238854
6.78 6.79 0.00236944
6.79 6.8 0.00235063
6.8 6.81 0.00233213
6.81 6.82 0.00231395
6.82 6.83 0.00229611
6.83 6.84 0.00227861
6.84 6.85 0.00226148
6.85 6.86 0.00224472
6.86 6.87 0.00222833
6.87 6.88 0.00221234
6.88 6.89 0.00219674
6.89 6.9 0.00218154
6.9 6.91 0.00216675
6.91 6.92 0.00215237
6.92 6.93 0.00213839
6.93 6.94 0.00212482
6.94 6.95 0.00211166
6.95 6.96 0.00209891
6.96 6.97 0.00208657
6.97 6.98 0.00207463
6.98 6.99 0.00206308
6.99 7 0.00205194
7 7.01 0.00204118
7.01 7.02 0.00203081
7.02 7.03 0.00202081
7.03 7.04 0.00201118
7.04 7.05 0.00200192
7.05 7.06 0.00199301
7.06 7.07 0.00198444
7.07 7.08 0.00197621
7.08 7.09 0.00196831
7.09 7.1 0.00196073
7.1 7.11 0.00195346
7.11 7.12 0.00186888
7.12 7.13 0.00185417
7.13 7.14 0.00184835
7.14 7.15 0.00184279
7.15 7.16 0.00183748
7.16 7.17 0.0018324
7.17 7.18 0.00182755
7.18 7.19 0.00182291
7.19 7.2 0.00181849
7.2 7.21 0.00181427
7.21 7.22 0.00181024
7.22 7.23 0.00180639
7.23 7.24 0.00180271
7.24 7.25 0.00179921
7.25 7.26 0.00179586
7.26 7.27 0.00179266
7.27 7.28 0.0017896
7.28 7.29 0.00178668
7.29 7.3 0.00178389
7.3 7.31 0.00178122
7.31 7.32 0.00177866
7.32 7.33 0.00177622
7.33 7.34 0.00177387
7.34 7.35 0.00177162
7.35 7.36 0.00176946
7.36 7.37 0.00176738
7.37 7.38 0.00176539
7.38 7.39 0.00176347
7.39 7.4 0.00176161
7.4 7.41 0.00175983
7.41 7.42 0.00175811
7.42 7.43 0.00175644
7.43 7.44 0.00175482
7.44 7.45 0.00175326
7.45 7.46 0.00175174
7.46 7.47 0.00175027
7.47 7.48 0.00174883
7.48 7.49 0.00174743
7.49 7.5 0.00174607
7.5 7.51 0.00174474
7.51 7.52 0.00174344
7.52 7.53 0.00174216
7.53 7.54 0.00174091
7.54 7.55 0.00173968
7.55 7.56 0.00173848
7.56 7.57 0.00173729
7.57 7.58 0.00173612
7.58 7.59 0.00173497
7.59 7.6 0.00173384
7.6 7.61 0.00173271
