#Energy(keV) Flux(ph/s/keV/cm^2)
0.0317187 0.0129351
0.035457 0.014401
0.0396359 0.0160256
0.0443074 0.0178243
0.0495294 0.019814
0.0553669 0.0220114
0.0618924 0.0244356
0.069187 0.0271064
0.0773413 0.0300431
0.0864567 0.0332656
0.0966464 0.0367956
0.108037 0.0406519
0.12077 0.0448527
0.135004 0.0494155
0.150916 0.0543529
0.168702 0.0596719
0.188586 0.0653758
0.210812 0.071457
0.235658 0.0778987
0.263433 0.0846722
0.294481 0.0917301
0.329188 0.0990026
0.367986 0.106404
0.411356 0.113817
0.459838 0.121097
0.514034 0.128072
0.574618 0.134537
0.642342 0.140264
0.718048 0.145001
0.802677 0.14849
0.897279 0.150476
1.00303 0.150731
1.12125 0.149071
1.2534 0.145438
1.40112 0.139838
1.56626 0.132411
1.75086 0.123371
1.95721 0.113074
2.18788 0.101956
2.44575 0.0904778
2.734 0.0790858
3.05623 0.0681619
3.41643 0.0579854
3.81909 0.0487363
4.26921 0.0404876
4.77237 0.0332381
5.33484 0.0269354
5.9636 0.0215113
6.66646 0.0168944
7.45217 0.0130196
8.33047 0.00980794
9.3123 0.00720712
10.4098 0.00515304
11.6367 0.00357959
13.0082 0.00241307
14.5414 0.00158116
16.2552 0.00100978
18.171 0.000632547
20.3126 0.000391738
22.7067 0.000242408
25.3829 0.000151427
28.3745 9.64954e-05
