#Energy(keV) Pol.Frac(%) Pol.Angle(degree)
0.0317187 1.0835 89.6542
0.035457 1.08203 89.669
0.0396359 1.08036 89.6856
0.0443074 1.0785 89.7043
0.0495294 1.07639 89.7254
0.0553669 1.07406 89.749
0.0618924 1.07143 89.7756
0.069187 1.06848 89.8056
0.0773413 1.06514 89.8394
0.0864567 1.06144 89.8776
0.0966464 1.05724 89.9208
0.108037 1.05252 89.9696
0.12077 1.0472 90.025
0.135004 1.0412 90.0879
0.150916 1.03445 90.1596
0.168702 1.02681 90.2413
0.188586 1.01817 90.3349
0.210812 1.00839 90.4422
0.235658 0.997336 90.566
0.263433 0.984806 90.7093
0.294481 0.970567 90.8759
0.329188 0.954391 91.0709
0.367986 0.935983 91.3006
0.411356 0.915021 91.5733
0.459838 0.89113 91.8998
0.514034 0.86387 92.2951
0.574618 0.832784 92.7792
0.642342 0.797377 93.3809
0.718048 0.757113 94.1412
0.802677 0.711507 95.1216
0.897279 0.660174 96.4168
1.00303 0.603112 98.1766
1.12125 0.54102 100.649
1.2534 0.4763 104.25
1.40112 0.414723 109.64
1.56626 0.368763 117.616
1.75086 0.359082 128.112
1.95721 0.403911 138.83
2.18788 0.502556 147.216
2.44575 0.641784 152.932
2.734 0.809381 156.752
3.05623 0.997103 159.388
3.41643 1.19917 161.304
3.81909 1.4121 162.782
4.26921 1.63411 164.004
4.77237 1.86531 165.085
5.33484 2.10863 166.098
5.9636 2.37008 167.094
6.66646 2.65524 168.1
7.45217 2.98025 169.138
8.33047 3.35658 170.205
9.3123 3.80586 171.302
10.4098 4.35331 172.425
11.6367 5.03631 173.56
13.0082 5.89734 174.685
14.5414 6.99333 175.786
16.2552 8.38697 176.836
18.171 10.1257 177.809
20.3126 12.2073 178.68
22.7067 14.5314 179.432
25.3829 16.8307 0.0543186
28.3745 18.769 0.554226
