#Energy(keV) Flux(ph/s/keV/cm^2)
0.0317187 0.0897328
0.035457 0.0994537
0.0396359 0.11012
0.0443074 0.121794
0.0495294 0.134546
0.0553669 0.148429
0.0618924 0.163499
0.069187 0.179791
0.0773413 0.197338
0.0864567 0.216137
0.0966464 0.236164
0.108037 0.257369
0.12077 0.279633
0.135004 0.302808
0.150916 0.326657
0.168702 0.350895
0.188586 0.375119
0.210812 0.398862
0.235658 0.421554
0.263433 0.442534
0.294481 0.461039
0.329188 0.476302
0.367986 0.487515
0.411356 0.493923
0.459838 0.49498
0.514034 0.490135
0.574618 0.479067
0.642342 0.462036
0.718048 0.439579
0.802677 0.412519
0.897279 0.381952
1.00303 0.349121
1.12125 0.315243
1.2534 0.281504
1.40112 0.248739
1.56626 0.217613
1.75086 0.188476
1.95721 0.161569
2.18788 0.137003
2.44575 0.114845
2.734 0.0950476
3.05623 0.0775635
3.41643 0.0623472
3.81909 0.0492048
4.26921 0.0380492
4.77237 0.0287397
5.33484 0.0211244
5.9636 0.0150523
6.66646 0.0103317
7.45217 0.00679928
8.33047 0.0042599
9.3123 0.00252798
10.4098 0.0014105
11.6367 0.000736057
13.0082 0.000357398
14.5414 0.000161155
16.2552 6.77473e-05
18.171 2.69551e-05
20.3126 1.04834e-05
22.7067 4.17945e-06
25.3829 1.78229e-06
28.3745 8.1917e-07
