#Energy(keV) Flux(ph/s/keV/cm^2)
0.0317187 0.182863
0.035457 0.20223
0.0396359 0.223437
0.0443074 0.246612
0.0495294 0.271879
0.0553669 0.299346
0.0618924 0.329122
0.069187 0.36128
0.0773413 0.395844
0.0864567 0.432815
0.0966464 0.472142
0.108037 0.513662
0.12077 0.557147
0.135004 0.602267
0.150916 0.648528
0.168702 0.695302
0.188586 0.741794
0.210812 0.787028
0.235658 0.829821
0.263433 0.868853
0.294481 0.902603
0.329188 0.929531
0.367986 0.947948
0.411356 0.956654
0.459838 0.954369
0.514034 0.939972
0.574618 0.9131
0.642342 0.874279
0.718048 0.824552
0.802677 0.765673
0.897279 0.699909
1.00303 0.629694
1.12125 0.557692
1.2534 0.486258
1.40112 0.41733
1.56626 0.352226
1.75086 0.292175
1.95721 0.237884
2.18788 0.189684
2.44575 0.147915
2.734 0.112494
3.05623 0.083097
3.41643 0.0594419
3.81909 0.0410189
4.26921 0.0271404
4.77237 0.0171334
5.33484 0.0102411
5.9636 0.0057572
6.66646 0.00301758
7.45217 0.00146031
8.33047 0.000647042
9.3123 0.000259776
10.4098 9.3478e-05
11.6367 2.98751e-05
13.0082 8.42133e-06
14.5414 2.09011e-06
16.2552 4.60978e-07
18.171 9.2566e-08
20.3126 1.74138e-08
22.7067 3.0145e-09
25.3829 5.37925e-10
28.3745 9.01006e-11
